"species" "yearbirth" "littersizebirth" "littersizeweaning" "sexratiobirth" "sexratioweaning" "survlitter48h" "survlitterweaning" "survlittersexmat" "agedam" "agemaxdam" "agesire" "agemaxsire"
"182" "Vrubra" 1992 1 1 1 1 1 1 1 8 20.44 8 27.93
"183" "Vrubra" 1988 2 2 1 1 1 1 1 10 14.51 5 29.9
"184" "Vrubra" 2008 2 2 0.5 0.5 1 1 1 16 23.6 23 30.52
"185" "Vrubra" 2006 2 2 0.5 0.5 1 1 1 14 23.6 21 30.52
"186" "Vrubra" 1998 2 1 0.5 1 0.5 0.5 0.5 6 23.6 13 30.52
"187" "Vrubra" 1980 3 0 1 NA 0 0 0 3 11.63 12 14.6
"188" "Vrubra" 2012 4 4 0.25 0.25 1 1 1 12 11.89 7 10.69
"189" "Vrubra" 2007 1 1 1 1 1 1 1 11 19.75 11 19.72
"190" "Vrubra" 1988 1 0 1 NA 0 0 0 3 18.92 4 22.97
"191" "Vrubra" 1996 1 1 1 1 1 1 1 12 19.36 5 23.7
"192" "Vrubra" 1991 1 1 1 1 1 1 1 8 10.51 8 10.5
"193" "Vrubra" 1992 1 1 1 1 1 1 1 5 28.52 7 30.52
"194" "Vrubra" 2001 1 0 0 NA 0 0 0 13 15.81 11 21.28
"195" "Vrubra" 1986 3 0 0.333333333333333 NA 0.666666666666667 0 0 4 30.42 8 34.51
"196" "Vrubra" 2009 4 0 0.75 NA 1 0 0 9 15.7 10 16.69
"197" "Vrubra" 1974 2 2 0.5 0.5 1 1 1 11 12.66 6 21.26
"198" "Vrubra" 2005 3 2 0.333333333333333 0.5 1 0.666666666666667 0.666666666666667 5 10 15 21.28
"199" "Vrubra" 2013 1 1 1 1 1 1 1 12 14.78 10 12.72
"200" "Vrubra" 2008 2 2 0.5 0.5 1 1 1 10 17.73 20 27.75
"201" "Vrubra" 2009 1 1 0 0 1 1 1 11 17.73 21 27.75
"202" "Vrubra" 1985 2 2 0 0 1 1 1 6 21.59 8 17.86
"203" "Vrubra" 2010 3 2 0.666666666666667 0.5 1 0.666666666666667 0.666666666666667 12 17.73 22 27.75
"204" "Vrubra" 1999 2 1 1 1 0.5 0.5 0.5 10 18.28 11 19.31
"205" "Vrubra" 2002 3 3 0 0 1 1 1 6 19.55 6 19.54
